time	V(h)	V(vin)
4.064711120428544e-006	9.184127e-001	1.000000e+000
4.177284439524968e-006	9.769912e-001	1.000000e+000
4.290596637463428e-006	1.023172e+000	1.000000e+000
4.436137814466872e-006	1.059976e+000	1.000000e+000
4.618864503922064e-006	1.072742e+000	1.000000e+000
4.806134902222351e-006	1.051139e+000	1.000000e+000
4.982307731953707e-006	1.004780e+000	1.000000e+000
5.111240022519404e-006	9.593474e-001	1.000000e+000
5.219752727248479e-006	9.171484e-001	1.000000e+000
5.338701409641676e-006	8.713042e-001	1.000000e+000
5.450882509543901e-006	8.315899e-001	1.000000e+000
5.564723244476971e-006	7.973844e-001	1.000000e+000
5.678937597984512e-006	7.721102e-001	1.000000e+000
5.843596990680458e-006	7.527689e-001	1.000000e+000
6.037819892925725e-006	7.525522e-001	1.000000e+000
6.228323392881797e-006	7.728313e-001	1.000000e+000
6.370325288664066e-006	7.988877e-001	1.000000e+000
6.482803366649932e-006	8.242038e-001	1.000000e+000
6.591965149744104e-006	8.501364e-001	1.000000e+000
6.702630265696437e-006	8.756300e-001	1.000000e+000
6.819401280649991e-006	8.999099e-001	1.000000e+000
6.932212307356280e-006	9.192249e-001	1.000000e+000
7.058815656532571e-006	9.342160e-001	1.000000e+000
7.229852670245893e-006	9.427847e-001	1.000000e+000
7.443010508423949e-006	9.383733e-001	1.000000e+000
7.599316957751329e-006	9.255683e-001	1.000000e+000
7.726167987351438e-006	9.098233e-001	1.000000e+000
7.836726200582195e-006	8.938900e-001	1.000000e+000
7.947176246403341e-006	8.773609e-001	1.000000e+000
8.059062759469927e-006	8.612776e-001	1.000000e+000
8.181724057237163e-006	8.455146e-001	1.000000e+000
8.294878851960122e-006	8.337384e-001	1.000000e+000
8.428606446823353e-006	8.243897e-001	1.000000e+000
8.601668378720713e-006	8.198121e-001	1.000000e+000
8.827319013441542e-006	8.237920e-001	1.000000e+000
8.988831111982688e-006	8.324977e-001	1.000000e+000
9.111178580074859e-006	8.419912e-001	1.000000e+000
9.219319889962348e-006	8.514017e-001	1.000000e+000
9.349287265949102e-006	8.627557e-001	1.000000e+000
9.468357589189177e-006	8.723130e-001	1.000000e+000
9.598941026255946e-006	8.810626e-001	1.000000e+000
9.724582772333604e-006	8.870041e-001	1.000000e+000
9.891843033507531e-006	8.906281e-001	1.000000e+000
1.009257919898482e-005	8.896443e-001	1.000000e+000
1.024955665554297e-005	8.851525e-001	1.000000e+000
1.038062755289461e-005	8.791649e-001	1.000000e+000
1.049912367457883e-005	8.726860e-001	1.000000e+000
1.063397353613936e-005	8.649498e-001	1.000000e+000
1.078052821565236e-005	8.569790e-001	1.000000e+000
1.092715645313112e-005	8.502232e-001	1.000000e+000
1.107938732516562e-005	8.451719e-001	1.000000e+000
1.124174578836400e-005	8.424652e-001	1.000000e+000
1.144121329885682e-005	8.425058e-001	1.000000e+000
1.160146558113813e-005	8.448628e-001	1.000000e+000
1.174251568080506e-005	8.484297e-001	1.000000e+000
1.189458905829420e-005	8.530582e-001	1.000000e+000
1.207007358143292e-005	8.584440e-001	1.000000e+000
1.223976028210144e-005	8.628975e-001	1.000000e+000
1.241886369774827e-005	8.660876e-001	1.000000e+000
1.260338931255886e-005	8.672869e-001	1.000000e+000
1.282545186561645e-005	8.661786e-001	1.000000e+000
1.300332280870818e-005	8.636044e-001	1.000000e+000
1.317389590615826e-005	8.600770e-001	1.000000e+000
1.336062293244491e-005	8.558803e-001	1.000000e+000
1.356554934023512e-005	8.517063e-001	1.000000e+000
1.376942489679538e-005	8.486829e-001	1.000000e+000
1.398935814377050e-005	8.471568e-001	1.000000e+000
1.424303386103575e-005	8.473713e-001	1.000000e+000
1.443691584367813e-005	8.486941e-001	1.000000e+000
1.463470655710612e-005	8.506430e-001	1.000000e+000
1.489023341514184e-005	8.530377e-001	1.000000e+000
1.512083204782948e-005	8.543908e-001	1.000000e+000
1.538543914915453e-005	8.545032e-001	1.000000e+000
1.566964276203246e-005	8.531235e-001	1.000000e+000
1.589368214285227e-005	8.512094e-001	1.000000e+000
1.613282041861688e-005	8.489040e-001	1.000000e+000
1.642777312714531e-005	8.465165e-001	1.000000e+000
